City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,santa maria,-29.6842,-53.8069,25.58,57,45,4.32,BR,1674443974
210,fort nelson,58.8053,-122.7002,-8.23,93,100,1.54,CA,1674443975
211,honiara,-9.4333,159.95,29.13,73,92,1.73,SB,1674443975
212,dolores,-36.3132,-57.6792,18.66,75,17,2.63,AR,1674443975
213,te anau,-45.4167,167.7167,19.63,33,1,1.73,NZ,1674443977
214,sao felix do xingu,-6.6447,-51.995,21.9,98,100,0.44,BR,1674443978
215,college,64.8569,-147.8028,-28.82,72,40,1.54,US,1674443978
216,caravelas,-17.7125,-39.2481,25.25,89,100,4.06,BR,1674443979
217,bashtanka,47.4072,32.4387,-1.51,89,7,3.83,UA,1674443980
218,la ligua,-32.4524,-71.2311,18.64,77,0,1.14,CL,1674443980
219,pangnirtung,66.1451,-65.7125,-22.36,100,100,1.85,CA,1674443981
220,road town,18.4167,-64.6167,24.05,64,5,9.41,VG,1674443868
221,oksbol,55.6268,8.2876,-0.94,86,8,2.39,DK,1674443981
222,xinzhi,36.4989,111.7047,-2.77,22,93,8.15,CN,1674443982
223,nalut,30.3333,10.85,7.03,49,94,2.34,LY,1674443983
224,labelle,26.7617,-81.4384,23.01,90,46,3.14,US,1674443983
225,dukat,62.55,155.55,-33.78,97,100,2.49,RU,1674443984
226,igarka,67.4667,86.5833,-25.76,90,68,4.38,RU,1674443984
227,baykit,61.67,96.37,-28.78,96,100,1.71,RU,1674443985
228,salur,18.5333,83.2167,23.05,43,67,0.46,IN,1674443985
229,port macquarie,-31.4333,152.9167,25.5,75,53,3.07,AU,1674443986
230,warrnambool,-38.3833,142.4833,21.14,69,63,4.54,AU,1674443986
231,arman,59.7,150.1667,-23.08,81,11,3.9,RU,1674443987
232,tenenkou,14.4572,-4.9169,22.86,15,4,4.42,ML,1674443987
233,bambous virieux,-20.3428,57.7575,25.12,100,75,1.54,MU,1674443988
234,kathu,7.9178,98.3332,28.9,70,46,4.19,TH,1674443988
235,tingo maria,-9.2895,-76.0088,19.89,98,64,0.83,PE,1674443988
236,krasnoselkup,65.7,82.4667,-23.87,95,96,6.11,RU,1674443989
237,haines junction,60.7522,-137.5108,-9.78,98,91,1.21,CA,1674443990
238,kavieng,-2.5744,150.7967,29.02,69,100,4.99,PG,1674443991
239,zapolyarnyy,69.4154,30.8136,-4.4,81,60,8.89,RU,1674443991
240,bage,-31.3314,-54.1069,21.88,78,0,3.09,BR,1674443992
241,mahebourg,-20.4081,57.7,25.14,100,75,1.54,MU,1674443992
242,bubaque,11.2833,-15.8333,23.09,70,0,6.88,GW,1674443993
243,manzil kamil,35.6248,10.6673,3.69,70,20,5.14,TN,1674443994
244,bandar-e anzali,37.4727,49.4622,4.06,71,42,1.36,IR,1674443994
245,muscat,23.6139,58.5922,16.01,50,68,2.57,OM,1674443995
246,memari,23.2,88.1167,22.24,44,93,1.36,IN,1674443996
247,huilong,31.8111,121.655,7.74,85,100,7.08,CN,1674443996
248,huangchuan,32.1272,115.0394,7.69,64,99,4.04,CN,1674443997
249,namwala,-15.7504,26.4384,17.5,99,100,1.26,ZM,1674443998
250,namibe,-15.1961,12.1522,22.26,83,100,2.2,AO,1674443998
251,klaksvik,62.2266,-6.589,6.51,81,100,8.96,FO,1674443999
252,ugoofaaru,5.6667,73.0,26.98,75,99,5.79,MV,1674444000
253,tilichiki,60.4667,166.1,-10.49,65,100,9.88,RU,1674444000
254,saldanha,-33.0117,17.9442,17.03,92,0,4.78,ZA,1674444001
255,mtsensk,53.2766,36.5733,-2.7,76,100,2.6,RU,1674444002
256,wad rawah,15.1603,33.1397,19.94,33,7,4.3,SD,1674444003
257,qurayyat,31.3318,37.3428,8.1,76,0,0.0,SA,1674444003
258,bethanien,-26.502,17.1583,25.02,34,70,2.97,NA,1674444004
259,yulara,-25.2406,130.9889,35.14,14,0,4.99,AU,1674444005
260,okhotsk,59.3833,143.3,-24.5,83,31,5.27,RU,1674444006
261,chulman,56.8479,124.9104,-32.19,94,100,4.89,RU,1674444008
262,khandbari,27.3747,87.2039,15.53,30,0,0.47,NP,1674444009
263,leningradskiy,69.3833,178.4167,-35.39,91,28,3.17,RU,1674444010
264,iqaluit,63.7506,-68.5145,-21.15,71,100,7.72,CA,1674444011
265,charters towers,-20.1,146.2667,31.65,43,29,5.94,AU,1674444013
266,grand gaube,-20.0064,57.6608,25.21,87,99,0.89,MU,1674444014
267,codrington,-38.2667,141.9667,22.79,56,18,5.86,AU,1674444015
268,dauphin,51.1494,-100.0502,-1.92,91,100,6.17,CA,1674443928
269,la libertad,-2.2333,-80.9,25.21,73,39,3.1,EC,1674444018
270,namatanai,-3.6667,152.4333,29.17,68,100,4.36,PG,1674444020
271,zeya,53.75,127.2667,-29.06,75,75,1.12,RU,1674444023
272,sistranda,63.7256,8.834,4.98,61,100,4.88,NO,1674443735
273,gamba,-2.65,10.0,24.78,88,72,0.34,GA,1674444026
274,kloulklubed,7.0419,134.2556,25.28,93,100,12.26,PW,1674444027
275,upernavik,72.7868,-56.1549,-27.69,72,100,5.79,GL,1674443830
276,ribeira grande,38.5167,-28.7,16.54,88,5,8.49,PT,1674444030
277,ginda,30.6945,78.4932,5.36,17,0,2.56,IN,1674444031
278,altamont,42.2068,-121.7372,-0.12,72,20,0.0,US,1674444032
279,marawi,7.9986,124.2928,21.36,90,100,1.39,PH,1674444033
280,porto torres,40.835,8.3972,0.1,76,9,0.63,IT,1674444033
281,ilulissat,69.2167,-51.1,-7.99,86,100,3.6,GL,1674444034
282,flin flon,54.7682,-101.865,-3.14,85,99,4.8,CA,1674443939
283,alugan,12.2188,125.4808,26.76,81,100,6.02,PH,1674444035
284,guerrero,17.6667,-100.0,16.64,86,6,2.43,MX,1674444035
285,gari,59.4307,62.3497,-15.97,98,52,1.68,RU,1674444036
286,sabancuy,18.9667,-91.1833,23.71,91,0,3.0,MX,1674444036
287,belyy yar,53.6039,91.3903,-28.06,76,40,0.0,RU,1674444037
288,aklavik,68.2191,-135.0107,-23.3,92,98,5.11,CA,1674444037
289,whitefish,48.4111,-114.3376,-3.14,93,100,0.0,US,1674444038
290,paita,-5.0892,-81.1144,21.66,83,23,2.92,PE,1674444038
291,manggar,-2.8833,108.2667,28.76,70,100,3.19,ID,1674444039
292,coahuayana,18.7333,-103.6833,22.04,86,43,0.4,MX,1674444039
293,llanes,43.4198,-4.7549,5.5,61,7,2.2,ES,1674444040
294,mpanda,-6.3655,31.0409,17.24,98,99,0.67,TZ,1674444041
295,northam,51.0333,-4.2167,4.23,86,99,3.58,GB,1674444041
296,mutoko,-17.397,32.2268,16.54,91,95,1.31,ZW,1674444042
297,san cristobal,7.7669,-72.225,20.1,72,85,1.27,VE,1674444042
298,bafoulabe,13.8065,-10.8321,25.47,17,2,0.95,ML,1674444042
299,buala,-8.145,159.5921,30.54,62,82,2.83,SB,1674444043
300,sarkand,45.41,79.9186,-10.66,63,0,2.71,KZ,1674444043
301,komsomolskiy,40.4272,71.7189,-6.62,83,100,0.56,UZ,1674444044
302,kerman,30.2832,57.0788,-6.08,93,20,2.06,IR,1674444045
303,ahipara,-35.1667,173.1667,22.13,63,100,3.57,NZ,1674444045
304,kirensk,57.7853,108.1119,-37.72,91,45,1.7,RU,1674444046
305,viedma,-40.8135,-62.9967,17.69,72,1,4.28,AR,1674444047
306,vermilion,40.1667,-87.7506,1.42,88,100,2.06,US,1674444047
307,homer,59.6425,-151.5483,1.94,75,100,2.57,US,1674444048
308,ranong,9.9658,98.6348,28.96,50,81,1.95,TH,1674444049
309,bambanglipuro,-7.95,110.2833,29.11,69,58,4.23,ID,1674444049
310,nouadhibou,20.931,-17.0347,16.99,63,0,9.26,MR,1674444050
311,atasu,48.6814,71.6433,-21.23,98,30,1.64,KZ,1674444050
312,guilin,25.2819,110.2864,9.06,72,100,3.34,CN,1674444051
313,samarai,-10.6167,150.6667,29.54,70,86,6.27,PG,1674444051
314,sibu,2.3,111.8167,28.17,83,40,1.54,MY,1674444053
315,bahia honda,22.9036,-83.1592,21.86,90,61,2.74,CU,1674444054
316,zhigansk,66.7697,123.3711,-37.47,94,100,2.43,RU,1674444054
317,perth,-31.9333,115.8333,36.12,34,0,2.57,AU,1674443702
318,dzerzhinskoye,56.8344,95.2283,-26.02,80,100,3.8,RU,1674444055
319,sinnamary,5.3833,-52.95,24.63,87,100,5.91,GF,1674444056
320,porbandar,21.6422,69.6093,16.44,53,0,5.43,IN,1674444057
